2025-07-10 15:18:19,804 - INFO - Starting raw disk scan of D:\
2025-07-10 15:18:19,804 - INFO - Performing file system scan of D:\
2025-07-10 15:18:24,194 - INFO - Recovered file: recovered_000124_20250710_151824.zip (ZIP Archive/Office Document, 2781263 bytes)
2025-07-10 15:18:24,220 - INFO - Recovered file: recovered_000125_20250710_151824.zip (ZIP Archive/Office Document, 2785409 bytes)
2025-07-10 15:18:24,253 - INFO - Recovered file: recovered_000126_20250710_151824.unknown (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:24,287 - INFO - Recovered file: recovered_000127_20250710_151824.unknown (Unknown File Type, 2781438 bytes)
2025-07-10 15:18:24,311 - INFO - Recovered file: recovered_000128_20250710_151824.TMP (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:24,342 - INFO - Recovered file: recovered_000129_20250710_151824.zip (ZIP Archive/Office Document, 2781264 bytes)
2025-07-10 15:18:24,373 - INFO - Recovered file: recovered_000130_20250710_151824.zip (ZIP Archive/Office Document, 2781326 bytes)
2025-07-10 15:18:24,388 - INFO - Recovered file: recovered_000131_20250710_151824.zip (ZIP Archive/Office Document, 130037 bytes)
2025-07-10 15:18:24,417 - INFO - Recovered file: recovered_000132_20250710_151824.TMP (Unknown File Type, 15355 bytes)
2025-07-10 15:18:24,437 - INFO - Recovered file: recovered_000133_20250710_151824.zip (ZIP Archive/Office Document, 60933 bytes)
2025-07-10 15:18:24,457 - INFO - Recovered file: recovered_000134_20250710_151824.zip (ZIP Archive/Office Document, 60933 bytes)
2025-07-10 15:18:24,457 - INFO - Recovered file: recovered_000135_20250710_151824.zip (ZIP Archive/Office Document, 107309 bytes)
2025-07-10 15:18:24,477 - INFO - Recovered file: recovered_000136_20250710_151824.zip (ZIP Archive/Office Document, 32073 bytes)
2025-07-10 15:18:24,501 - INFO - Recovered file: recovered_000137_20250710_151824.doc (MS Office Document (Legacy), 68096 bytes)
2025-07-10 15:18:24,518 - INFO - Recovered file: recovered_000138_20250710_151824.doc (MS Office Document (Legacy), 52109 bytes)
2025-07-10 15:18:24,528 - INFO - Recovered file: recovered_000139_20250710_151824.zip (ZIP Archive/Office Document, 52152 bytes)
2025-07-10 15:18:24,547 - INFO - Recovered file: recovered_000140_20250710_151824.zip (ZIP Archive/Office Document, 52148 bytes)
2025-07-10 15:18:24,560 - INFO - Recovered file: recovered_000141_20250710_151824.zip (ZIP Archive/Office Document, 52153 bytes)
2025-07-10 15:18:24,576 - INFO - Recovered file: recovered_000142_20250710_151824.doc (MS Office Document (Legacy), 52152 bytes)
2025-07-10 15:18:24,580 - INFO - Recovered file: recovered_000143_20250710_151824.TMP (Unknown File Type, 107381 bytes)
2025-07-10 15:18:24,590 - INFO - Recovered file: recovered_000144_20250710_151824.zip (ZIP Archive/Office Document, 48374 bytes)
2025-07-10 15:18:24,600 - INFO - Recovered file: recovered_000145_20250710_151824.doc (MS Office Document (Legacy), 52148 bytes)
2025-07-10 15:18:24,610 - INFO - Recovered file: recovered_000146_20250710_151824.TMP (Unknown File Type, 107392 bytes)
2025-07-10 15:18:24,611 - INFO - Recovered file: recovered_000147_20250710_151824.zip (ZIP Archive/Office Document, 32065 bytes)
2025-07-10 15:18:24,626 - INFO - Recovered file: recovered_000148_20250710_151824.zip (ZIP Archive/Office Document, 107295 bytes)
2025-07-10 15:18:24,631 - INFO - Recovered file: recovered_000149_20250710_151824.TMP (Unknown File Type, 107399 bytes)
2025-07-10 15:18:24,642 - INFO - Recovered file: recovered_000150_20250710_151824.zip (ZIP Archive/Office Document, 44614 bytes)
2025-07-10 15:18:24,649 - INFO - Recovered file: recovered_000151_20250710_151824.zip (ZIP Archive/Office Document, 52109 bytes)
2025-07-10 15:18:24,658 - INFO - Recovered file: recovered_000152_20250710_151824.TMP (Unknown File Type, 80133 bytes)
2025-07-10 15:18:24,666 - INFO - Recovered file: recovered_000153_20250710_151824.zip (ZIP Archive/Office Document, 60933 bytes)
2025-07-10 15:18:24,676 - INFO - Recovered file: recovered_000154_20250710_151824.zip (ZIP Archive/Office Document, 107295 bytes)
2025-07-10 15:18:24,683 - INFO - Recovered file: recovered_000155_20250710_151824.zip (ZIP Archive/Office Document, 32065 bytes)
2025-07-10 15:18:24,692 - INFO - Recovered file: recovered_000156_20250710_151824.zip (ZIP Archive/Office Document, 52109 bytes)
2025-07-10 15:18:24,700 - INFO - Recovered file: recovered_000157_20250710_151824.TMP (Unknown File Type, 52152 bytes)
2025-07-10 15:18:24,710 - INFO - Recovered file: recovered_000158_20250710_151824.TMP (Unknown File Type, 52109 bytes)
2025-07-10 15:18:24,720 - INFO - Recovered file: recovered_000159_20250710_151824.TMP (Unknown File Type, 52148 bytes)
2025-07-10 15:18:24,729 - INFO - Recovered file: recovered_000160_20250710_151824.TMP (Unknown File Type, 52153 bytes)
2025-07-10 15:18:24,733 - INFO - Recovered file: recovered_000161_20250710_151824.TMP (Unknown File Type, 102209 bytes)
2025-07-10 15:18:24,744 - INFO - Recovered file: recovered_000162_20250710_151824.zip (ZIP Archive/Office Document, 52148 bytes)
2025-07-10 15:18:24,753 - INFO - Recovered file: recovered_000163_20250710_151824.TMP (Unknown File Type, 107381 bytes)
2025-07-10 15:18:24,763 - INFO - Recovered file: recovered_000164_20250710_151824.TMP (Unknown File Type, 107399 bytes)
2025-07-10 15:18:24,775 - INFO - Recovered file: recovered_000165_20250710_151824.TMP (Unknown File Type, 107392 bytes)
2025-07-10 15:18:24,781 - INFO - Recovered file: recovered_000166_20250710_151824.zip (ZIP Archive/Office Document, 44603 bytes)
2025-07-10 15:18:24,793 - INFO - Recovered file: recovered_000167_20250710_151824.TMP (Unknown File Type, 15355 bytes)
2025-07-10 15:18:24,898 - INFO - Recovered file: recovered_000168_20250710_151824.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:24,916 - INFO - Recovered file: recovered_000169_20250710_151824.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:24,938 - INFO - Recovered file: recovered_000170_20250710_151824.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:24,952 - INFO - Recovered file: recovered_000171_20250710_151824.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:24,969 - INFO - Recovered file: recovered_000172_20250710_151824.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:24,979 - INFO - Recovered file: recovered_000173_20250710_151824.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:24,993 - INFO - Recovered file: recovered_000174_20250710_151824.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:24,996 - INFO - Recovered file: recovered_000175_20250710_151824.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,006 - INFO - Recovered file: recovered_000176_20250710_151825.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,010 - INFO - Recovered file: recovered_000177_20250710_151825.zip (ZIP Archive/Office Document, 162 bytes)
2025-07-10 15:18:25,026 - INFO - Recovered file: recovered_000178_20250710_151825.doc (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,044 - INFO - Recovered file: recovered_000179_20250710_151825.doc (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,056 - INFO - Recovered file: recovered_000180_20250710_151825.zip (ZIP Archive/Office Document, 162 bytes)
2025-07-10 15:18:25,061 - INFO - Recovered file: recovered_000181_20250710_151825.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:25,069 - INFO - Recovered file: recovered_000182_20250710_151825.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:25,078 - INFO - Recovered file: recovered_000183_20250710_151825.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:25,098 - INFO - Recovered file: recovered_000184_20250710_151825.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:25,108 - INFO - Recovered file: recovered_000185_20250710_151825.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,115 - INFO - Recovered file: recovered_000186_20250710_151825.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,120 - INFO - Recovered file: recovered_000187_20250710_151825.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,129 - INFO - Recovered file: recovered_000188_20250710_151825.zip (ZIP Archive/Office Document, 162 bytes)
2025-07-10 15:18:25,136 - INFO - Recovered file: recovered_000189_20250710_151825.zip (ZIP Archive/Office Document, 162 bytes)
2025-07-10 15:18:25,147 - INFO - Recovered file: recovered_000190_20250710_151825.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:25,160 - INFO - Recovered file: recovered_000191_20250710_151825.xlsx (Unknown File Type, 165 bytes)
2025-07-10 15:18:25,168 - INFO - Recovered file: recovered_000192_20250710_151825.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,171 - INFO - Recovered file: recovered_000193_20250710_151825.docx (Unknown File Type, 162 bytes)
2025-07-10 15:18:25,185 - INFO - Recovered file: recovered_000194_20250710_151825.zip (ZIP Archive/Office Document, 44614 bytes)
2025-07-10 15:18:25,228 - INFO - Recovered file: recovered_000195_20250710_151825.exe (Windows Executable, 2869264 bytes)
2025-07-10 15:18:25,244 - INFO - Recovered file: recovered_000196_20250710_151825.pdf (PDF Document, 1111349 bytes)
2025-07-10 15:18:25,254 - INFO - Recovered file: recovered_000197_20250710_151825.pdf (PDF Document, 245671 bytes)
2025-07-10 15:18:25,268 - INFO - Recovered file: recovered_000198_20250710_151825.exe (Windows Executable, 274432 bytes)
2025-07-10 15:18:25,277 - INFO - Recovered file: recovered_000199_20250710_151825.lst (Unknown File Type, 600 bytes)
2025-07-10 15:18:38,916 - INFO - Recovered file: recovered_000200_20250710_151825.exe (Windows Executable, 57393504 bytes)
2025-07-10 15:18:38,954 - INFO - Recovered file: recovered_000201_20250710_151838.exe (Windows Executable, 33280 bytes)
2025-07-10 15:18:38,976 - INFO - Recovered file: recovered_000202_20250710_151838.doc (MS Office Document (Legacy), 27648 bytes)
2025-07-10 15:18:38,983 - INFO - Recovered file: recovered_000203_20250710_151838.txt (UTF-8 Text with BOM, 71 bytes)
2025-07-10 15:18:38,991 - INFO - Recovered file: recovered_000204_20250710_151838.txt (UTF-16 LE Text, 2044 bytes)
2025-07-10 15:18:39,023 - INFO - Recovered file: recovered_000205_20250710_151839.exe (Windows Executable, 707072 bytes)
2025-07-10 15:18:39,041 - INFO - Recovered file: recovered_000206_20250710_151839.cab (Unknown File Type, 429821 bytes)
2025-07-10 15:18:39,054 - INFO - Recovered file: recovered_000207_20250710_151839.hdr (Unknown File Type, 103120 bytes)
2025-07-10 15:18:46,877 - INFO - Recovered file: recovered_000208_20250710_151839.cab (Unknown File Type, 163148473 bytes)
2025-07-10 15:18:46,914 - INFO - Recovered file: recovered_000209_20250710_151846.exe (Windows Executable, 552214 bytes)
2025-07-10 15:18:46,915 - INFO - Recovered file: recovered_000210_20250710_151846.bin (Unknown File Type, 455 bytes)
2025-07-10 15:18:46,928 - INFO - Recovered file: recovered_000211_20250710_151846.exe (Windows Executable, 455600 bytes)
2025-07-10 15:18:46,935 - INFO - Recovered file: recovered_000212_20250710_151846.ini (Unknown File Type, 454 bytes)
2025-07-10 15:18:46,946 - INFO - Recovered file: recovered_000213_20250710_151846.inx (Unknown File Type, 247788 bytes)
2025-07-10 15:18:46,951 - INFO - Recovered file: recovered_000214_20250710_151846.exe (Windows Executable, 164784 bytes)
